Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,Ward,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude,Location
JB393625,08/01/2018 12:01:00 AM,012XX N MASSASOIT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,false,false,2531,29,11,1137786,1907763,2018,41.903041675,-87.769330251,"(41.903041675, -87.769330251)"
JB377195,08/01/2018 12:01:00 AM,062XX S ROCKWELL ST,0820,THEFT,$500 AND UNDER,STREET,false,false,0825,15,06,1160110,1863264,2018,41.7804995,-87.688556482,"(41.7804995, -87.688556482)"
JB375059,08/01/2018 12:01:00 AM,061XX S TALMAN AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,false,true,0825,15,20,1159759,1863906,2018,41.782268452,-87.689825703,"(41.782268452, -87.689825703)"
JB374317,08/01/2018 12:01:00 AM,069XX S CREGIER AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,false,true,0332,5,26,1189401,1859290,2018,41.768941644,-87.58129902,"(41.768941644, -87.58129902)"
JB374310,08/01/2018 12:01:00 AM,101XX S MAPLEWOOD AVE,0820,THEFT,$500 AND UNDER,DRIVEWAY - RESIDENTIAL,false,false,2211,19,06,1161156,1837449,2018,41.709637563,-87.685434241,"(41.709637563, -87.685434241)"
JB374077,08/01/2018 12:01:00 AM,065XX S HERMITAGE AVE,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,true,0725,15,11,1165793,1861349,2018,41.775125668,-87.667775881,"(41.775125668, -87.667775881)"
JB373842,08/01/2018 12:01:00 AM,006XX E 44TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0221,4,08B,1181468,1875986,2018,41.814943616,-87.609862202,"(41.814943616, -87.609862202)"
JB373934,08/01/2018 12:01:00 AM,046XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1113,28,03,1145540,1898723,2018,41.878091461,-87.741077138,"(41.878091461, -87.741077138)"
JB373878,08/01/2018 12:01:00 AM,036XX W OHIO ST,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),STREET,true,false,1122,27,18,1151857,1903753,2018,41.891772348,-87.717749924,"(41.891772348, -87.717749924)"
JB373844,08/01/2018 12:01:00 AM,062XX S WINCHESTER AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0714,15,08B,1164429,1863300,2018,41.780508328,-87.672721197,"(41.780508328, -87.672721197)"
JB373840,08/01/2018 12:03:00 AM,012XX W 97TH PL,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,2213,21,26,1169759,1840191,2018,41.71698008,-87.653849525,"(41.71698008, -87.653849525)"
JB381538,08/01/2018 12:05:00 AM,038XX W GRENSHAW ST,1750,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,DAY CARE CENTER,false,false,1133,24,20,1150887,1894763,2018,41.867121846,-87.721547674,"(41.867121846, -87.721547674)"
JB373877,08/01/2018 12:05:00 AM,033XX W ARTHINGTON ST,0337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,SIDEWALK,false,false,1134,24,03,1154345,1895847,2018,41.870028132,-87.708823855,"(41.870028132, -87.708823855)"
JB373835,08/01/2018 12:05:00 AM,027XX W 58TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0824,16,08B,1158926,1866077,2018,41.788243045,-87.692820438,"(41.788243045, -87.692820438)"
JB373841,08/01/2018 12:10:00 AM,079XX S PAULINA ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,0611,21,08A,1166394,1851967,2018,41.749367402,-87.665839571,"(41.749367402, -87.665839571)"
JB373850,08/01/2018 12:10:00 AM,015XX W FARGO AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,2422,49,03,1164848,1949526,2018,42.017109884,-87.668736199,"(42.017109884, -87.668736199)"
JB373838,08/01/2018 12:15:00 AM,074XX S MAY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0733,17,14,1169937,1855596,2018,41.7592497,-87.652751399,"(41.7592497, -87.652751399)"
JB373857,08/01/2018 12:18:00 AM,025XX E 76TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,0421,7,04A,1194324,1855058,2018,41.757209187,-87.563392885,"(41.757209187, -87.563392885)"
JB373901,08/01/2018 12:20:00 AM,087XX S CALUMET AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,false,false,0632,6,06,1180004,1847125,2018,41.735779834,-87.616115218,"(41.735779834, -87.616115218)"
JB373855,08/01/2018 12:20:00 AM,007XX S HOMAN AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1133,24,03,1153826,1896402,2018,41.871561458,-87.710714493,"(41.871561458, -87.710714493)"
JB373880,08/01/2018 12:20:00 AM,007XX E 87TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DEPARTMENT STORE,false,false,0632,6,14,1182609,1847455,2018,41.736625423,-87.60656135,"(41.736625423, -87.60656135)"
JB373860,08/01/2018 12:22:00 AM,091XX S ELLIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0413,8,08B,1184484,1844511,2018,41.728503105,-87.59978396,"(41.728503105, -87.59978396)"
