Kategorie: Alle Kategorien

Region,Donald Trump: (08.06.16 bis 08.06.16),Hillary Clinton: (08.06.16 bis 08.06.16)
California,41%,81%
Vermont,46%,76%
District of Columbia,41%,81%
Oregon,38%,85%
New Jersey,48%,75%
New York,45%,77%
Maine,38%,85%
Massachusetts,41%,81%
Rhode Island,37%,86%
Illinois,43%,80%
Minnesota,39%,83%
Washington,45%,77%
Connecticut,46%,76%
Idaho,38%,85%
Maryland,48%,75%
Virginia,45%,77%
Pennsylvania,45%,77%
New Hampshire,56%,66%
New Mexico,58%,65%
Colorado,46%,76%
Nevada,46%,76%
Wyoming,95%,28%
Louisiana,45%,77%
Arizona,53%,70%
Missouri,50%,72%
Texas,50%,72%
Kansas,45%,77%
Michigan,41%,81%
Hawaii,38%,85%
Tennessee,45%,77%
Montana,58%,65%
Nebraska,23%,100%
Florida,46%,76%
Ohio,51%,71%
Wisconsin,54%,69%
Georgia,50%,72%
South Dakota,64%,59%
Indiana,49%,74%
Utah,40%,82%
North Dakota,60%,62%
Kentucky,58%,65%
North Carolina,50%,72%
Alabama,55%,67%
Oklahoma,58%,65%
South Carolina,54%,69%
Arkansas,55%,67%
West Virginia,67%,55%
Alaska,43%,80%
Delaware,64%,59%
Mississippi,49%,74%
Iowa,61%,61%
